$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1154.2776	224.6409	0.7554	55.6529	234.2996	-0.0748	82.5701	224.6409	12.4551	0.7554	-0.0736	0.1049	1.9883	0.0122	0.009	0.007	0.0048	0.0048	0.0046	0.032	0.5257	1154.2769	1154.2769	-0.0748	-0.0736	A	
null	1154.43	224.6118	0.7563	55.634	221.1533	-0.0762	82.6036	224.6118	12.4587	0.7563	-0.075	0.1069	1.9594	0.0122	0.0089	0.007	0.0048	0.0046	0.0045	0.032	0.5731	1154.4293	1154.4293	-0.0762	-0.075	A	
null	1154.5824	224.5828	0.7572	55.7905	213.088	-0.0776	85.7293	224.5828	12.4599	0.7572	-0.0765	0.109	1.9442	0.0128	0.0094	0.0074	0.0051	0.0049	0.0048	0.032	0.6148	1154.5817	1154.5817	-0.0776	-0.0765	A	
null	1154.7348	224.5539	0.7581	55.7742	208.998	-0.079	89.33	224.5539	12.4574	0.7581	-0.0779	0.111	1.9709	0.0109	0.008	0.0061	0.0038	0.0036	0.0034	0.03	0.6365	1154.7341	1154.7341	-0.079	-0.0779	A	
null	1154.8872	224.525	0.7591	55.836	196.5375	-0.0804	87.1737	224.525	12.4419	0.7591	-0.0793	0.113	2.0269	0.0118	0.0086	0.0066	0.0042	0.0038	0.0037	0.03	0.5843	1154.8865	1154.8865	-0.0804	-0.0793	A	
null	1155.0396	224.4963	0.76	55.8808	177.0671	-0.0819	83.1815	224.4963	12.4562	0.76	-0.0808	0.115	2.091	0.0117	0.0085	0.0065	0.0041	0.0037	0.0036	0.0319	0.492	1155.0389	1155.0389	-0.0819	-0.0808	A	
null	1155.192	224.4675	0.7609	55.9603	179.7016	-0.0833	80.2657	224.4675	12.4494	0.7609	-0.0822	0.117	2.9565	0.0123	0.009	0.0068	0.0044	0.0038	0.0037	0.0319	0.4516	1155.1913	1155.1913	-0.0833	-0.0822	A	
null	1155.3444	224.4389	0.7618	55.9974	168.3714	-0.0847	78.5089	224.4389	12.4578	0.7618	-0.0837	0.1191	3.8003	0.0113	0.0083	0.0063	0.0038	0.0034	0.0033	0.033	0.4386	1155.3436	1155.3436	-0.0847	-0.0837	A	
null	1155.4968	224.4103	0.7628	55.8697	164.8492	-0.0861	76.3363	224.4103	12.4628	0.7628	-0.0851	0.1211	4.6206	0.0114	0.0084	0.0063	0.0039	0.0033	0.0032	0.0311	0.4584	1155.496	1155.496	-0.0861	-0.0851	A	
null	1155.6492	224.3818	0.7637	55.8697	162.6131	-0.0875	72.2971	224.3818	12.4615	0.7637	-0.0866	0.1231	3.8477	0.0123	0.0089	0.0067	0.0041	0.0035	0.0034	0.0335	0.433	1155.6484	1155.6484	-0.0875	-0.0866	A	
null	1155.8016	224.3534	0.7646	55.8692	162.0511	-0.089	71.7432	224.3534	12.4515	0.7646	-0.088	0.1251	3.06	0.0131	0.0094	0.0071	0.0044	0.0036	0.0034	0.0324	0.3945	1155.8008	1155.8008	-0.089	-0.088	A	
null	1155.954	224.325	0.7655	55.887	162.0983	-0.0904	74.1486	224.325	12.4621	0.7655	-0.0895	0.1272	2.2445	0.0137	0.0098	0.0074	0.0046	0.0037	0.0036	0.0411	0.4047	1155.9532	1155.9532	-0.0904	-0.0895	A	
